0.153884
0 0.152188
1 0.153884
2 0.14582
3 0.140127
4 0.132314
5 0.132119
6 0.131165
7 0.138884
8 0.128475
9 0.134735
0 0.0464113 0.113262
1 0.180113 0.26545
2 0.0521499 0.118675
3 0.190937 0.278296
4 0.0561316 0.128846
5 0.181294 0.254399
6 0.0415663 0.107363
7 0.0514788 0.11592
8 0.162152 0.230025
9 0.0471457 0.112418
10 0.1608 0.235131
11 0.0461933 0.112785
12 0.155059 0.220952
13 0.0517231 0.122693
14 0.0490925 0.116814
15 0.0441967 0.108286
16 0.178957 0.246872
17 0.15772 0.222106
18 0.170339 0.237353
19 0.160126 0.225653
