0.387528
0 0
1 0.0650921
2 0.12972
3 0.25851
4 0.131999
5 0.196766
6 0.131165
7 0
8 0.387528
9 0
0 0.0429912 0.108083
1 0.0433089 0.107541
2 0.154848 0.220336
3 0.0501804 0.11425
4 0.166555 0.230778
5 0.27724 0.34166
6 0.386227 0.452024
7 0.0514788 0.11592
8 0.045638 0.110286
9 0.0471457 0.112418
10 0.16089 0.228448
11 0.161479 0.228071
12 0.155059 0.220952
13 0.0442849 0.108485
14 0.157521 0.222657
15 0.268854 0.332943
16 0.387611 0.452296
17 0.50173 0.566116
18 0.61707 0.682102
19 0.272412 0.337939
